en_country;sum;total_rus;vote_ratio
Moldova;79686;111726;0,71
Germany;33479;237816;0,14
Estonia;27960;72350;0,39
Belarus;22340;706992;0,03
Latvia;20667;37618;0,55
Greece;6812;13635;0,50
Italy;6342;36982;0,17
France;6235;55322;0,11
Czechia;5710;37201;0,15
Bulgaria;5644;29375;0,19
Finland;5291;30049;0,18
Spain;4911;82908;0,06
Lithuania;4443;8432;0,53
United Kingdom;3850;66000;0,06
Switzerland;2611;30000;0,09
Austria;2448;33926;0,07
Belgium;2211;12056;0,18
Sweden;2013;7860;0,26
Netherlands;1987;13670;0,15
Hungary;1855;4980;0,37
Poland;1630;15994;0,10
Portugal;1621;5156;0,31
Norway;1564;8439;0,19
Serbia;1363;;
Denmark;920;;
Ireland;699;5492;0,13
Slovenia;528;3730;0,14
Luxembourg;526;1951;0,27
Slovakia;500;2412;0,21
Malta;482;;
Montenegro;442;;
Romania;441;23487;0,02
Ukraine;374;;
Macedonia;311;;
Croatia;265;;
Iceland;193;;
Bosnia & Herzegovina;166;;
Albania;139;;